timestamp,time_rel_lead,vehicle_speed_mph_lead,eng_speed_rpm_lead,pedal_per_lead,gap_m_lead,latitude_deg_lead,longitude_deg_lead,axle_torque_ch_0_V_lead,axle_torque_ch_1_V_lead,time_rel_following,vehicle_speed_mph_following,eng_speed_rpm_following,pedal_per_following,gap_m_following,latitude_deg_following,longitude_deg_following,axle_torque_ch_0_V_following,axle_torque_ch_1_V_following,gps_dist_car1_car2
2019-08-13 16:10:41,37.09999999999999,0.0,0.0,0.0,,,,-0.2162555291542958,-0.23230583138640215,0.0,0.0,,,3.7,41.70405083333333,-87.976066,-0.02940885663207155,-0.022299089795269542,0.0
2019-08-13 16:10:42,37.900000000000006,0.0,0.0,0.0,,,,-0.218226294056949,-0.2342379538399837,0.5,0.0,,,3.7,41.70404366666666,-87.97605866666666,-0.03890327075067035,-0.03202080441260478,0.0
2019-08-13 16:10:43,38.70000000000002,0.0,0.0,0.0,,,,-0.21717167721770236,-0.23308270562294636,1.3,0.0,,,3.6950000000000003,41.7040385,-87.97604233333334,-0.039017322591025735,-0.032422395399771625,0.0
2019-08-13 16:10:44,39.50000000000003,0.0,0.0,0.0,,,,-0.2180765545667964,-0.2340753335334739,2.1,0.0,,,3.7,41.704032833333336,-87.97603216666668,-0.039848615934461123,-0.033851256132111304,0.0
2019-08-13 16:10:45,40.30000000000004,0.0,0.0,0.0,,,,-0.21835590727154341,-0.23385072429824505,2.9000000000000004,0.0,,,3.7,41.70402991666667,-87.97603025000001,-0.03996106141086784,-0.03331473057325639,0.0
2019-08-13 16:10:46,41.10000000000004,0.0,0.0,0.0,,,,-0.2173198066058103,-0.23310524705157154,3.700000000000001,86.26806916365,0.75,0.0,3.7,41.704027,-87.97602833333332,-0.039475136316395945,-0.03274688091740245,0.0
2019-08-13 16:10:47,41.80000000000005,0.0,0.0,0.0,,,,-0.2168324823869625,-0.23262114303681303,4.400000000000001,0.0,0.75,0.0,3.7000000000000006,41.70401316666667,-87.97603333333332,-0.038270631082220154,-0.03224034081892266,0.0
2019-08-13 16:10:48,42.500000000000064,0.0,0.0,0.0,,,,-0.2175146289532131,-0.2335423897566943,5.100000000000002,0.0,0.75,0.0,3.7,41.70400466666667,-87.9760335,-0.03586403015979158,-0.03213164352506283,0.0
2019-08-13 16:10:49,43.30000000000007,0.0,0.0,0.0,,,,-0.21641009895058233,-0.23229778087617892,5.900000000000003,0.0,0.75,0.0,3.7,41.70400033333333,-87.97603533333331,-0.03937554175157857,-0.03303602642816259,0.0
2019-08-13 16:10:50,44.10000000000009,0.0,0.0,0.0,,,,-0.2171660418605461,-0.23313422888837526,6.700000000000002,0.0,0.75,0.0,3.6975000000000002,41.70399833333333,-87.97603833333334,-0.03999881096366153,-0.03365206700247654,0.0
2019-08-13 16:10:51,44.900000000000105,0.0,0.0,0.0,,,,-0.21697524476825492,-0.23316079557211197,7.5000000000000036,0.0,0.75,0.0,3.6925,41.70399483333333,-87.97604766666667,-0.03978918046836043,-0.0346182949176,0.0
2019-08-13 16:10:52,45.70000000000011,0.0,0.0,0.0,,,,-0.2172384964525554,-0.23348040082797522,8.200000000000003,0.0,,,3.7000000000000006,41.703990833333336,-87.976049,-0.038542642044194504,-0.030767840532644183,0.0
2019-08-13 16:10:53,46.500000000000114,0.0,0.0,0.0,,,,-0.21695592354371912,-0.23344980888912686,8.9,0.0,,,3.6975,41.7039885,-87.97604933333334,-0.03890407393264468,-0.031469018396237516,0.0
2019-08-13 16:10:54,47.30000000000014,0.0,0.0,0.0,,,,-0.21696719425803168,-0.23249179817255938,9.7,86.26806916365,0.75,0.0,3.7,41.70398616666667,-87.9760515,-0.04096262933286198,-0.0339894034316967,0.0
2019-08-13 16:10:55,48.00000000000015,0.0,0.0,0.0,,,,-0.21825903279852354,-0.23416898780240444,10.499999999999996,0.0,0.75,0.0,3.6950000000000003,41.70398433333333,-87.97605366666667,-0.03870006571116392,-0.03227380673451989,0.0
2019-08-13 16:10:56,48.70000000000015,0.0,0.0,0.0,,,,-0.21732866216705587,-0.23301105608195938,11.299999999999994,0.0,0.75,0.0,3.6925,41.70398216666667,-87.97605666666666,-0.03861251887596154,-0.03299747369339456,0.0
2019-08-13 16:10:57,49.50000000000016,0.0,0.0,0.0,,,,-0.21700664175812562,-0.232913644908258,12.09999999999999,0.0,0.75,0.0,3.7,41.70398927777778,-87.97605863888889,-0.03982452047523111,-0.03442633442573424,0.0
2019-08-13 16:10:58,50.30000000000018,0.0,0.0,0.0,,,,-0.21814739905676106,-0.23409787496209902,12.899999999999984,0.0,0.75,0.0,3.6925,41.70399638888889,-87.97606061111111,-0.03972251636449073,-0.032256939913058884,0.0
2019-08-13 16:10:59,51.10000000000019,0.0,0.0,0.0,,,,-0.2169253316048707,-0.23295228735732965,13.599999999999982,0.0,0.75,0.0,3.7000000000000006,41.7040035,-87.97606258333334,-0.039563218606247876,-0.03202508804980122,0.0
2019-08-13 16:11:00,51.900000000000205,0.0,0.0,0.0,,,,-0.21729726517718517,-0.23337413409302826,14.299999999999983,0.0,0.75,0.0,3.6975,41.704010611111116,-87.97606455555557,-0.03732662453505327,-0.030990321939534625,0.0
2019-08-13 16:11:01,52.700000000000216,0.0,0.0,0.0,,,,-0.2166226324204763,-0.23225752832506263,15.099999999999977,0.0,0.75,0.0,3.6975000000000002,41.704017722222225,-87.97606652777779,-0.03903418941248674,-0.03233966765641526,0.0
